,0
Cell_1,1
Cell_2,1
Cell_3,2
Cell_4,2
Cell_5,1
Cell_6,1
Cell_7,1
Cell_8,1
Cell_9,1
Cell_10,1
Cell_11,1
Cell_12,1
Cell_15,2
Cell_16,2
Cell_17,2
Cell_18,2
Cell_19,2
Cell_20,1
Cell_21,2
Cell_22,2
Cell_23,2
Cell_24,2
Cell_25,2
Cell_26,2
Cell_27,2
Cell_28,2
Cell_29,2
Cell_30,2
Cell_31,2
Cell_32,2
Cell_33,2
Cell_34,2
Cell_35,3
Cell_36,3
Cell_37,3
Cell_38,3
Cell_39,2
Cell_40,2
Cell_41,2
Cell_42,2
Cell_43,2
Cell_44,2
Cell_45,2
Cell_46,2
Cell_47,3
Cell_48,3
Cell_49,2
Cell_50,3
Cell_51,3
Cell_52,3
Cell_53,3
Cell_54,2
Cell_55,3
Cell_56,3
Cell_57,3
Cell_58,3
Cell_59,3
Cell_60,3
Cell_61,3
Cell_62,3
Cell_63,3
Cell_64,3
Cell_65,3
Cell_66,3
Cell_67,3
Cell_68,3
Cell_69,3
Cell_70,3
Cell_71,3
Cell_72,3
Cell_73,3
Cell_74,3
Cell_75,3
Cell_76,3
Cell_77,3
Cell_78,3
Cell_79,3
Cell_80,3
Cell_81,3
Cell_82,3
Cell_83,3
Cell_84,3
Cell_85,3
Cell_86,3
Cell_87,3
Cell_88,3
Cell_89,3
Cell_90,3
Cell_91,3
Cell_92,3
Cell_358,3
Cell_359,3
Cell_360,3
Cell_361,3
Cell_362,3
Cell_363,3
Cell_364,3
Cell_365,3
Cell_366,3
Cell_367,3
Cell_368,3
Cell_369,3
Cell_370,3
Cell_371,3
Cell_372,3
Cell_373,3
Cell_374,3
Cell_375,3
Cell_376,3
Cell_377,3
Cell_378,3
Cell_379,3
Cell_380,3
Cell_381,3
Cell_382,3
Cell_383,3
Cell_384,3
Cell_385,3
Cell_386,3
Cell_387,3
Cell_388,3
Cell_389,3
Cell_390,3
Cell_391,3
Cell_392,3
Cell_393,3
Cell_394,3
Cell_395,3
Cell_396,3
Cell_397,3
Cell_398,3
Cell_399,3
Cell_400,3
Cell_401,3
Cell_402,3
Cell_403,3
Cell_404,3
Cell_405,3
Cell_406,3
Cell_407,3
Cell_408,3
Cell_409,3
Cell_410,3
Cell_411,3
Cell_412,3
Cell_413,3
Cell_414,3
Cell_415,3
Cell_416,3
Cell_417,3
Cell_418,3
Cell_419,3
Cell_420,3
Cell_421,3
Cell_422,3
Cell_423,3
Cell_424,3
Cell_425,3
Cell_426,3
Cell_427,3
Cell_428,3
Cell_429,3
Cell_430,3
Cell_431,3
Cell_432,3
Cell_433,3
Cell_434,3
Cell_435,3
Cell_436,3
Cell_437,3
Cell_438,3
Cell_439,3
Cell_440,3
Cell_441,3
Cell_442,3
Cell_443,3
